"Media ID","Title","Sort title","Studio","Content Rating","Year","Rating","Summary","Genres","View Count","Last Viewed at","Tagline","Release Date","Writers","Country","Duration","Directors","Roles"
"81","Crimson Tide","Crimson Tide","Hollywood Pictures","R","1995","8.7","On a US nuclear missile sub, a young
first officer stages a mutiny to prevent
his trigger happy captain from launching
his missiles before confirming his
orders to do so.","Drama - Action","N/A","N/A","Danger runs deep.","1995-05-12","Michael Schiffer","US","1:55:46","Tony Scott","Denzel Washington - Gene Hackman - Matt
Craven"
"82","Cruel Intentions","Cruel Intentions","Columbia Pictures","R","1999","4.9","Slaking a thirst for dangerous games,
Kathryn challenges her stepbrother,
Sebastian, to deflower their
headmaster's daughter before the summer
ends. If he succeeds, the prize is the
chance to bed Kathryn. But if he loses,
Kathryn will claim his most prized
possession.","Romance - Drama","N/A","N/A","In the game of seduction, There is only
one rule: Never fall in love.","1999-03-05","Choderlos de Laclos - Roger Kumble","US","1:37:28","Roger Kumble","Sarah Michelle Gellar - Ryan Phillippe -
Reese Witherspoon"
"83","Dangerous Minds","Dangerous Minds","Hollywood Pictures","R","1995","2.9","Former Marine Louanne Johnson lands a
gig teaching in a pilot program for
bright but underachieving teens at a
notorious inner-city high school. After
having a terrible first day, she decides
she must throw decorum to the wind. When
Johnson returns to the classroom, she
does so armed with a no-nonsense
attitude informed by her military
training and a fearless determination to
better the lives of her students -- no
matter what the cost.","Biography - Drama","N/A","N/A","She broke the rules... and changed their
lives.","1995-08-11","Ronald Bass","US","1:38:44","John N. Smith","Michelle Pfeiffer - George Dzundza -
Courtney B. Vance"
"84","Dante's Peak","Dante's Peak","Universal Pictures","PG-13","1997","2.6","Volcanologist Harry Dalton comes to the
sleepy town of Dante's Peak to
investigate the recent rumblings of the
dormant volcano the burg is named for.
Before long, his worst fears are
realized when a massive eruption hits,
and immediately, Harry, the mayor and
the townspeople find themselves fighting
for their lives amid a catastrophic
nightmare.","Action - Thriller","N/A","N/A","The pressure is building...","1997-02-07","Leslie Bohem","US","1:48:28","Roger Donaldson","Pierce Brosnan - Linda Hamilton - Jamie
Renée Smith"
"85","The Dark Crystal","Dark Crystal","Universal Pictures","PG","1982","7.2","On another planet in the distant past, a
Gelfling embarks on a quest to find the
missing shard of a magical crystal and
restore order to his world, before the
grotesque race of Skeksis find and use
the crystal for evil.","Family - Adventure","N/A","N/A","Another World, Another Time... In the
Age of Wonder.","1982-12-17","David Odell","US","1:33:07","Jim Henson - Frank Oz","Jim Henson - Kathryn Mullen - Frank Oz"
"86","The Dark Knight","Dark Knight","DC Comics","PG-13","2008","9.4","Batman raises the stakes in his war on
crime. With the help of Lt. Jim Gordon
and District Attorney Harvey Dent,
Batman sets out to dismantle the
remaining criminal organizations that
plague the streets. The partnership
proves to be effective, but they soon
find themselves prey to a reign of chaos
unleashed by a rising criminal
mastermind known to the terrified
citizens of Gotham as the Joker.","Action - Crime","N/A","2018-02-10","Why So Serious?","2008-07-16","Jonathan Nolan - Christopher Nolan","US","2:32:12","Christopher Nolan","Christian Bale - Michael Caine - Heath
Ledger"
"382","The Dark Knight Rises","Dark Knight Rises","Legendary Pictures","PG-13","2012","8.7","Following the death of District Attorney
Harvey Dent, Batman assumes
responsibility for Dent's crimes to
protect the late attorney's reputation
and is subsequently hunted by the Gotham
City Police Department. Eight years
later, Batman encounters the mysterious
Selina Kyle and the villainous Bane, a
new terrorist leader who overwhelms
Gotham's finest. The Dark Knight
resurfaces to protect a city that has
branded him an enemy.","Action - Thriller","N/A","N/A","The Legend Ends","2012-07-16","Jonathan Nolan - Christopher Nolan","US","2:44:33","Christopher Nolan","Christian Bale - Michael Caine - Gary
Oldman"
"87","The Dark Tower","Dark Tower","Imagine Entertainment","PG-13","2017","1.6","The last Gunslinger, Roland Deschain,
has been locked in an eternal battle
with Walter O’Dim, also known as the Man
in Black, determined to prevent him from
toppling the Dark Tower, which holds the
universe together. With the fate of the
worlds at stake, good and evil will
collide in the ultimate battle as only
Roland can defend the Tower from the Man
in Black.","Adventure - Fantasy","N/A","N/A","There are other worlds than these","2017-08-03","Nikolaj Arcel - Akiva Goldsman","US","1:34:44","Nikolaj Arcel","Idris Elba - Matthew McConaughey - Tom
Taylor"
"4063","Darkest Hour","Darkest Hour","Working Title Films","N/A","2017","N/A","A thrilling and inspiring true story
begins on the eve of World War II as,
within days of becoming Prime Minister
of Great Britain, Winston Churchill must
face one of his most turbulent and
defining trials: exploring a negotiated
peace treaty with Nazi Germany, or
standing firm to fight for the ideals,
liberty and freedom of a nation. As the
unstoppable Nazi forces roll across
Western Europe and the threat of
invasion is imminent, and with an
unprepared public, a skeptical King, and
his own party plotting against him,
Churchill must withstand his darkest
hour, rally a nation, and attempt to
change the course of world history.","Biography - Drama","N/A","2018-02-10","Never never never surrender","2017-11-22","Anthony McCarten","GB","2:04:55","Joe Wright","Gary Oldman - Ben Mendelsohn - Kristin
Scott Thomas"
"88","Dawn of the Planet of the Apes","Dawn of the Planet of the Apes","Ingenious Media","PG-13","2014","9.0","A group of scientists in San Francisco
struggle to stay alive in the aftermath
of a plague that is wiping out humanity,
while Caesar tries to maintain dominance
over his community of intelligent apes.","Sci-Fi - Drama","N/A","N/A","One last chance for peace.","2014-06-26","Mark Bomback - Rick Jaffa","US","2:10:24","Matt Reeves","Andy Serkis - Jason Clarke - Gary Oldman"
"89","Deadpool","Deadpool","Twentieth Century Fox Film Corporation","R","2016","8.3","Deadpool tells the origin story of
former Special Forces operative turned
mercenary Wade Wilson, who after being
subjected to a rogue experiment that
leaves him with accelerated healing
powers, adopts the alter ego Deadpool.
Armed with his new abilities and a dark,
twisted sense of humor, Deadpool hunts
down the man who nearly destroyed his
life.","Sci-Fi - Romance","N/A","N/A","Witness the beginning of a happy ending","2016-02-09","Rhett Reese - Paul Wernick","US","1:48:06","Tim Miller","Ryan Reynolds - Morena Baccarin - Ed
Skrein"
"90","Death Proof","Death Proof","The Weinstein Company","Not Rated","2007","6.5","Austin's hottest DJ, Jungle Julia, sets
out into the night to unwind with her
two friends Shanna and Arlene. Covertly
tracking their moves is Stuntman Mike, a
scarred rebel leering from behind the
wheel of his muscle car, revving just
feet away.","Action - Thriller","N/A","N/A","A crash course in revenge","2007-05-21","Quentin Tarantino","US","1:40:04","Quentin Tarantino","Kurt Russell - Zoë Bell - Rosario Dawson"
"91","Deep Rising","Deep Rising","Hollywood Pictures","R","1998","3.1","A group of heavily armed hijackers board
a luxury ocean liner in the South
Pacific Ocean to loot it, only to do
battle with a series of large-sized,
tentacled, man-eating sea creatures who
have taken over the ship first.","Sci-Fi - Action","N/A","N/A","Full Scream Ahead","1998-01-30","Stephen Sommers","US","1:46:08","Stephen Sommers","Treat Williams - Famke Janssen - Anthony
Heald"
"92","Deep Web","Deep Web","Epix","TV-MA","2015","8.2","Deep Web gives the inside story of one
of the the most important and riveting
digital crime sagas of the century --
the arrest of Ross William Ulbricht, the
convicted 30-year-old entrepreneur
accused to be 'Dread Pirate Roberts,'
creator and operator of online black
market Silk Road. The film explores how
the brightest minds and thought leaders
behind the Deep Web are now caught in
the crosshairs of the battle for control
of a future inextricably linked to
technology, with our digital rights
hanging in the balance.","Documentary","N/A","N/A","The Crime Saga of the Digital Age","2015-03-15","Alex Winter","US","1:26:22","Alex Winter","Gavin Andresen - Keanu Reeves"
"93","Demolition Man","Demolition Man","Silver Pictures","R","1993","6.2","Simon Phoenix, a violent criminal
cryogenically frozen in 1996, has
escaped during a parole hearing in 2032
in the utopia of San Angeles. Police are
incapable of dealing with his violent
ways and turn to his captor, John
Spartan, who had also been cryogenically
frozen when wrongfully accused of
killing 30 innocent people while
apprehending Phoenix.","Sci-Fi - Action","N/A","N/A","The 21st Century's most dangerous cop.
The 21st Century's most ruthless
criminal.","1993-10-08","Daniel Waters - Robert Reneau","US","1:55:03","Marco Brambilla","Sylvester Stallone - Wesley Snipes -
Sandra Bullock"
"383","The Departed","Departed","Vertigo Entertainment","R","2006","9.1","To take down South Boston's Irish Mafia,
the police send in one of their own to
infiltrate the underworld, not realizing
the syndicate has done likewise. While
an undercover cop curries favor with the
mob kingpin, a career criminal rises
through the police ranks. But both sides
soon discover there's a mole among them.","Crime - Drama","N/A","N/A","Lies. Betrayal. Sacrifice. How far will
you take it?","2006-10-05","William Monahan - Alan Mak","US","2:31:25","Martin Scorsese","Leonardo DiCaprio - Matt Damon - Jack
Nicholson"
"94","Die Another Day","Die Another Day","Eon Productions","PG-13","2002","5.8","Bond takes on a North Korean leader who
undergoes DNA replacement procedures
that allow him to assume different
identities. American agent, Jinx Johnson
assists Bond in his attempt to thwart
the villain's plans to exploit a
satellite that is powered by solar
energy.","Action - Thriller","N/A","N/A","He’s never been cooler.","2002-11-17","Robert Wade - Neal Purvis","US","2:12:34","Lee Tamahori","Pierce Brosnan - Halle Berry - Rosamund
Pike"
"95","Die Hard","Die Hard","Twentieth Century Fox Film Corporation","R","1988","9.2","NYPD cop, John McClane's plan to
reconcile with his estranged wife is
thrown for a serious loop when minutes
after he arrives at her office, the
entire building is overtaken by a group
of terrorists. With little help from the
LAPD, wisecracking McClane sets out to
single-handedly rescue the hostages and
bring the bad guys down.","Action - Thriller","N/A","N/A","40 Stories. Twelve Terrorists. One Cop.","1988-07-15","Jeb Stuart - Steven E. de Souza","US","2:12:10","John McTiernan","Bruce Willis - Alan Rickman - Alexander
Godunov"
"96","Die Hard 2","Die Hard 2","Twentieth Century Fox Film Corporation","R","1990","6.9","John McClane is an off-duty cop gripped
with a feeling of déjà vu when on a
snowy Christmas Eve in the nation's
capital, terrorists seize a major
international airport, holding thousands
of holiday travelers hostage. Renegade
military commandos led by a murderous
rogue officer plot to rescue a drug lord
from justice and are prepared for every
contingency except one: McClane's smart-
mouthed heroics.","Action - Thriller","N/A","N/A","Die Harder","1990-07-02","Doug Richardson - Steven E. de Souza","US","2:03:22","Renny Harlin","Bruce Willis - Bonnie Bedelia - William
Atherton"
"97","Die Hard: With a Vengeance","Die Hard: With a Vengeance","Twentieth Century Fox Film Corporation","R","1995","5.1","New York detective John McClane is back
and kicking bad-guy butt in the third
installment of this action-packed
series, which finds him teaming with
civilian Zeus Carver to prevent the loss
of innocent lives. McClane thought he'd
seen it all, until a genius named Simon
engages McClane, his new ""partner"" --
and his beloved city -- in a deadly game
that demands their concentration.","Action - Thriller","N/A","N/A","Think fast. Look alive. Die hard.","1995-05-19","Roderick Thorp - Jonathan Hensleigh","US","2:08:31","John McTiernan","Bruce Willis - Jeremy Irons - Samuel L.
Jackson"
"98","District 9","District 9","WingNut Films","R","2009","9.0","Aliens land in South Africa and, with
their ship totally disabled,  have no
way home. Years later, after living in a
slum and wearing out their welcome the
'Non-Humans' are being moved to a new
tent city overseen by Multi-National
United (MNU).","Sci-Fi - Thriller","N/A","N/A","You are not welcome here.","2009-08-05","Terri Tatchell - Neill Blomkamp","ZA","1:52:15","Neill Blomkamp","Sharlto Copley - Jason Cope - Nathalie
Boltt"
"99","Divergent","Divergent","Summit Entertainment","PG-13","2014","4.1","In a world divided into factions based
on personality types, Tris learns that
she's been classified as Divergent and
won't fit in. When she discovers a plot
to destroy Divergents, Tris and the
mysterious Four must find out what makes
Divergents dangerous before it's too
late.","Sci-Fi - Mystery","N/A","N/A","What makes you different makes you
dangerous.","2014-03-14","Vanessa Taylor - Evan Daugherty","USA","2:19:40","Neil Burger","Shailene Woodley - Theo James - Kate
Winslet"
"100","Django Unchained","Django Unchained","Columbia Pictures","R","2012","8.7","With the help of a German bounty hunter,
a freed slave sets out to rescue his
wife from a brutal Mississippi
plantation owner.","Drama - Western","N/A","N/A","Life, liberty and the pursuit of
vengeance.","2012-12-25","Quentin Tarantino","US","2:45:22","Quentin Tarantino","Jamie Foxx - Christoph Waltz - Leonardo
DiCaprio"
"101","Doctor Strange","Doctor Strange","Walt Disney Pictures","PG-13","2016","8.9","After his career is destroyed, a
brilliant but arrogant surgeon gets a
new lease on life when a sorcerer takes
him under his wing and trains him to
defend the world against evil.","Sci-Fi - Adventure","N/A","N/A","Open your mind. Change your reality.","2016-10-25","Jon Spaihts - Scott Derrickson","US","1:54:58","Scott Derrickson","Benedict Cumberbatch - Chiwetel Ejiofor
- Rachel McAdams"
"102","Don't Be a Menace to South Central While
Drinking Your Juice in the Hood","Don't Be a Menace to South Central While
Drinking Your Juice in the Hood","Miramax Films","R","1996","3.2","When Ashtray (Shawn Wayans) moves to
South Central L.A. to live with his
father (who appears to be the same age
he is) and grandmother (who likes to
talk tough and smoke reefer), he falls
in with his gang-banging cousin Loc Dog
(Marlon Wayans), who along with the
requisite pistols and Uzi carries a
thermo-nuclear warhead for self-defense.
Will Ashtray be able to keep living the
straight life?","Crime - Comedy","N/A","N/A","Finally, the movie that proves that
Justice isn't always Poetic, Jungle
Fever isn't always pretty, and Higher
Learning can be a waste of time.","1996-01-12","Shawn Wayans - Marlon Wayans","US","1:28:52","Paris Barclay","Shawn Wayans - Marlon Wayans - Tracey
Cherelle Jones"
"104","Dragon Ball Z: Resurrection 'F'","Dragon Ball Z: Resurrection 'F'","Toei Animation","TV-PG","2015","8.1","One peaceful day on Earth, two remnants
of Frieza's army named Sorbet and Tagoma
arrive searching for the Dragon Balls
with the aim of reviving Frieza. They
succeed, and Frieza subsequently seeks
revenge on the Saiyans.","Adventure - Fantasy","N/A","N/A","N/A","2015-04-18","Akira Toriyama","JP","1:33:57","Tadayoshi Yamamuro","Masako Nozawa - Ryou Horikawa - Hiromi
Tsuru"
"105","Dune","Dune","Dino De Laurentiis Company","PG-13","1984","5.7","In the year 10,191, the world is at war
for control of the desert planet Dune –
the only place where the time-travel
substance 'Spice' can be found. But when
one leader gives up control, it's only
so he can stage a coup with some
unsavory characters.","Sci-Fi - Action","N/A","N/A","A world beyond your experience, beyond
your imagination.","1984-12-14","David Lynch","US","2:16:33","David Lynch","Kyle MacLachlan - Francesca Annis -
Leonardo Cimino"
"106","Dunkirk","Dunkirk","Canal+","PG-13","2017","8.2","The story of the miraculous evacuation
of Allied soldiers from Belgium,
Britain, Canada and France, who were cut
off and surrounded by the German army
from the beaches and harbour of Dunkirk
between May 26th and June 4th 1940
during World War II.","History - Drama","1","2018-01-01","N/A","2017-07-19","Christopher Nolan","NL","1:46:38","Christopher Nolan","Fionn Whitehead - Kenneth Branagh -
Cillian Murphy"
"107","Eden Lake","Eden Lake","Aramid Entertainment Fund","R","2008","8.1","Eden Lake is a relentlessly tense and
immaculately paced horror-thriller about
modern youth gone wild. When a young
couple goes to a remote wooded lake for
a romantic getaway, their quiet weekend
is shattered by an aggressive group of
local kids. Rowdiness quickly turns to
rage as the teens terrorize the couple
in unimaginable ways, and a weekend
outing becomes a bloody battle for
survival.","Thriller - Horror","N/A","N/A","A weekend by the lake, with views to die
for.","2008-09-12","James Watkins","UK","1:27:17","James Watkins","Kelly Reilly - Michael Fassbender - Tara
Ellis"
"108","The Edge of Seventeen","Edge of Seventeen","Gracie Films","R","2016","9.5","Two high school girls are best friends
until one dates the other's older
brother, who is totally his sister's
nemesis.","Drama - Comedy","N/A","N/A","You're only young once... is it over
yet?","2016-11-18","Kelly Fremon Craig","US","1:44:55","Kelly Fremon Craig","Hailee Steinfeld - Haley Lu Richardson -
Blake Jenner"
"109","The Empire Strikes Back","Empire Strikes Back","Lucasfilm","PG","1980","9.4","The epic saga continues as Luke
Skywalker, in hopes of defeating the
evil Galactic Empire, learns the ways of
the Jedi from aging master Yoda. But
Darth Vader is more determined than ever
to capture Luke. Meanwhile, rebel leader
Princess Leia, cocky Han Solo,
Chewbacca, and droids C-3PO and R2-D2
are thrown into various stages of
capture, betrayal and despair.","Sci-Fi - Adventure","N/A","N/A","The Adventure Continues...","1980-05-17","Leigh Brackett - Lawrence Kasdan","US","2:07:21","Irvin Kershner","Mark Hamill - Harrison Ford - Carrie
Fisher"
"110","Enemy of the State","Enemy of the State","Jerry Bruckheimer Films","R","1998","7.1","Hotshot Washington lawyer, Robert Dean
becomes a victim of high-tech identity
theft when a hacker slips an
incriminating video into his pocket.
Soon, a rogue National Security agent
sets out to recover the tape – and
destroy Dean.","Crime - Mystery","N/A","N/A","It's not paranoia if they're really
after you.","1998-11-20","David Marconi","US","2:12:11","Tony Scott","Will Smith - Gene Hackman - Jon Voight"
"111","EuroTrip","EuroTrip","DreamWorks SKG","R","2004","6.6","When Scott learns that his longtime
cyber-buddy from Berlin is a gorgeous
young woman, he and his friends embark
on a trip across Europe.","Comedy","N/A","N/A","No actual Europeans were harmed in the
making of this film.","2004-02-20","Alec Berg - David Mandel","CZ","1:30:05","Jeff Schaffer","Scott Mechlowicz - Jacob Pitts -
Michelle Trachtenberg"
"112","Event Horizon","Event Horizon","Paramount Pictures","R","1997","2.4","In the year 2047 a group of astronauts
are sent to investigate and salvage the
long lost starship ""Event Horizon"". The
ship disappeared mysteriously 7 years
before on its maiden voyage and with its
return comes even more mystery as the
crew of the ""Lewis and Clark"" discover
the real truth behind its disappearance
and something even more terrifying.","Sci-Fi - Horror","N/A","N/A","Infinite Space - Infinite Terror","1997-08-15","Philip Eisner","US","1:35:57","Paul W.S. Anderson","Laurence Fishburne - Sam Neill -
Kathleen Quinlan"
"113","Ex Machina","Ex Machina","DNA Films","R","2015","9.2","Caleb, a 26 year old coder at the
world's largest internet company, wins a
competition to spend a week at a private
mountain retreat belonging to Nathan,
the reclusive CEO of the company. But
when Caleb arrives at the remote
location he finds that he will have to
participate in a strange and fascinating
experiment in which he must interact
with the world's first true artificial
intelligence, housed in the body of a
beautiful robot girl.","Sci-Fi - Mystery","N/A","N/A","There is nothing more human than the
will to survive","2015-01-21","Alex Garland","UK","1:48:00","Alex Garland","Domhnall Gleeson - Alicia Vikander -
Oscar Isaac"
"114","Excalibur","Excalibur","Orion Pictures","PG","1981","8.0","The myth of King Arthur brought to the
screen. Uthur Pendragon is given the
mystical sword Excalibur by Merlyn. At
his death Uthur buries the sword into a
stone, and the next man that can pull it
out will be King of England. Years later
Arthur, Uthur's bastard son draws
Excalibur and becomes king. Arthur's
evil half-sister Morgana sires a son
with him, who may prove his downfall.","Romance - Adventure","N/A","N/A","Forged by a god. Foretold by a wizard.
Found by a king.","1981-04-10","John Boorman - Rospo Pallenberg","US","2:20:47","John Boorman","Nigel Terry - Helen Mirren - Nicholas
Clay"
"115","The Exorcist","Exorcist","Warner Bros.","R","1973","8.6","12-year-old Regan MacNeil begins to
adapt an explicit new personality as
strange events befall the local area of
Georgetown. Her mother becomes torn
between science and superstition in a
desperate bid to save her daughter, and
ultimately turns to her last hope:
Father Damien Karras, a troubled priest
who is struggling with his own faith.","Horror","N/A","N/A","Something almost beyond comprehension is
happening to a girl on this street, in
this house... and a man has been sent
for as a last resort. This man is The
Exorcist.","1973-12-26","William Peter Blatty","USA","2:12:21","William Friedkin","Linda Blair - Max von Sydow - Ellen
Burstyn"
"116","Face/Off","Face/Off","Paramount Pictures","R","1997","9.2","An antiterrorism agent goes under the
knife to acquire the likeness of a
terrorist and gather details about a
bombing plot. When the terrorist escapes
custody, he undergoes surgery to look
like the agent so he can get close to
the agent's family.","Sci-Fi - Action","N/A","N/A","In order to catch him, he must become
him.","1997-06-27","Mike Werb - Michael Colleary","US","2:19:07","John Woo","John Travolta - Nicolas Cage - Joan
Allen"
"117","Fantastic Beasts and Where to Find Them","Fantastic Beasts and Where to Find Them","Heyday films","PG-13","2016","7.4","In 1926, Newt Scamander arrives at the
Magical Congress of the United States of
America with a magically expanded
briefcase, which houses a number of
dangerous creatures and their habitats.
When the creatures escape from the
briefcase, it sends the American
wizarding authorities after Newt, and
threatens to strain even further the
state of magical and non-magical
relations.","Family - Adventure","N/A","N/A","From J.K. Rowling's wizarding world.","2016-11-16","J.K. Rowling","US","2:12:52","David Yates","Eddie Redmayne - Colin Farrell -
Katherine Waterston"
"118","The Fate of the Furious","Fate of the Furious","Universal Pictures","PG-13","2017","6.6","When a mysterious woman seduces Dom into
the world of crime and a betrayal of
those closest to him, the crew face
trials that will test them as never
before.","Crime - Action","N/A","N/A","Family no more","2017-04-12","Chris Morgan","JP","2:15:57","F. Gary Gray","Vin Diesel - Jason Statham - Dwayne
Johnson"
"119","Father of the Bride","Father of the Bride","Sandollar Productions","PG","1991","7.1","George Banks is an ordinary, middle-
class man whose 21 year-old daughter
Annie has decided to marry a man from an
upper-class family, but George can't
think of what life would be like without
his daughter. He becomes slightly
insane, but his wife tries to make him
happy for Annie, but when the wedding
takes place at their home and a foreign
wedding planner takes over the ceremony.","Family - Comedy","N/A","N/A","Love is wonderful. Until it happens to
your only daughter.","1991-12-20","Nancy Meyers - Albert Hackett","US","1:45:13","Charles Shyer","Steve Martin - Diane Keaton - Kimberly
Williams-Paisley"
"120","Father of the Bride Part II","Father of the Bride Part II","Sandollar Productions","PG","1995","4.8","Just when George Banks has recovered
from his daughter's wedding, he receives
the news that she's pregnant ... and
that George's wife, Nina, is expecting
too. He was planning on selling their
home, but that's a plan that -- like
George -- will have to change with the
arrival of both a grandchild and a kid
of his own.","Family - Comedy","N/A","N/A","Just When His World Is Back To Normal...
He's In For The Surprise Of His Life!","1995-02-10","Nancy Meyers - Albert Hackett","US","1:46:05","Charles Shyer","Steve Martin - Diane Keaton - Martin
Short"
"121","Fight Club","Fight Club","Twentieth Century Fox Film Corporation","R","1999","7.9","A ticking-time-bomb insomniac and a
slippery soap salesman channel primal
male aggression into a shocking new form
of therapy. Their concept catches on,
with underground ""fight clubs"" forming
in every town, until an eccentric gets
in the way and ignites an out-of-control
spiral toward oblivion.","Drama","N/A","N/A","Mischief. Mayhem. Soap.","1999-10-15","Jim Uhls","US","2:19:08","David Fincher","Edward Norton - Brad Pitt - Meat Loaf"
"122","The Firm","Firm","Paramount Pictures","R","1993","7.5","Mitch McDeere is a young man with a
promising future in Law. About to sit
his Bar exam, he is approached by 'The
Firm' and made an offer he doesn't
refuse. Seduced by the money and gifts
showered on him, he is totally oblivious
to the more sinister side of his
company. Then, two Associates are
murdered. The FBI contact him, asking
him for information and suddenly his
life is ruined. He has a choice - work
with the FBI, or stay with the Firm.
Either way he will lose his life as he
knows it. Mitch figures the only way out
is to follow his own plan...","Mystery - Drama","N/A","N/A","Power can be murder to resist.","1993-06-30","David Rabe - Robert Towne","US","2:34:34","Sydney Pollack","Tom Cruise - Jeanne Tripplehorn - Gene
Hackman"
"123","First Blood","First Blood","Orion Pictures","TV-14","1982","8.7","When former Green Beret John Rambo is
harassed by local law enforcement and
arrested for vagrancy, the Vietnam vet
snaps, runs for the hills and rat-a-tat-
tats his way into the action-movie hall
of fame. Hounded by a relentless
sheriff, Rambo employs heavy-handed
guerilla tactics to shake the cops off
his tail.","Drama - Action","N/A","N/A","This time he's fighting for his life.","1982-10-22","Michael Kozoll - William Sackheim","US","1:33:16","Ted Kotcheff","Sylvester Stallone - Richard Crenna -
Brian Dennehy"
"3894","Flatliners","Flatliners","Columbia Pictures","PG-13","2017","5.1","Five medical students, hoping to gain
insight into the mystery of what lies
beyond the confines of life, embark on a
daring and dangerous experiment. By
stopping their hearts for short periods
of time, each triggers a near-death
experience. As the investigation becomes
more and more perilous, they are forced
to confront the sins of their pasts, as
well as contend with the paranormal
consequences of trespassing to the other
side.","Sci-Fi - Drama","N/A","N/A","You haven't lived until you've died","2017-09-28","Ben Ripley","US","1:49:46","Niels Arden Oplev","Ellen Page - Diego Luna - Nina Dobrev"
"4031","The Foreigner","Foreigner","STX Entertainment","N/A","2017","N/A","Quan is a humble London businessman
whose long-buried past erupts in a
revenge-fueled vendetta when the only
person left for him to love – his
teenage daughter – dies in a senseless
act of politically-motivated terrorism.
His relentless search to find the
terrorists leads to a cat-and-mouse
conflict with a British government
official whose own past may hold the
clues to the identities of the elusive
killers.","Action - Thriller","N/A","N/A","Never push a good man too far","2017-09-24","Stephen Leather - Peter Buchman","GB","1:53:52","Martin Campbell","Jackie Chan - Pierce Brosnan - Orla
Brady"
"124","Forrest Gump","Forrest Gump","Paramount Pictures","PG-13","1994","7.1","A man with a low IQ has accomplished
great things in his life and been
present during significant historic
events - in each case, far exceeding
what anyone imagined he could do. Yet,
despite all the things he has attained,
his one true love eludes him. 'Forrest
Gump' is the story of a man who rose
above his challenges, and who proved
that determination, courage, and love
are more important than ability.","Romance - Drama","N/A","N/A","The world will never be the same, once
you've seen it through the eyes of
Forrest Gump.","1994-07-06","Eric Roth","USA","2:22:09","Robert Zemeckis","Tom Hanks - Robin Wright - Gary Sinise"
"125","The Founder","Founder","Weinstein Company, The","PG-13","2016","8.2","The true story of how Ray Kroc, a
salesman from Illinois, met Mac and Dick
McDonald, who were running a burger
operation in 1950s Southern California.
Kroc was impressed by the brothers’
speedy system of making the food and saw
franchise potential. He maneuvered
himself into a position to be able to
pull the company from the brothers and
create a billion-dollar empire.","Biography - History","N/A","N/A","Risk taker. Rule breaker. Game changer.","2016-11-24","Robert D. Siegel","US","1:55:19","John Lee Hancock","Michael Keaton - Nick Offerman - John
Carroll Lynch"
"126","Friday","Friday","New Line Cinema","R","1995","7.3","Craig and Smokey are two guys in Los
Angeles hanging out on their porch on a
Friday afternoon, smoking and drinking,
looking for something to do.","Drama - Comedy","N/A","N/A","A lot can go down between thursday and
saturday...","1995-04-26","DJ Pooh - Ice Cube","USA","1:37:06","F. Gary Gray","Ice Cube - Chris Tucker - Nia Long"
"127","Friday Night Lights","Friday Night Lights","Universal Studios","PG-13","2004","8.1","A small, turbulent town in Texas
obsesses over their high school football
team to an unhealthy degree. When the
star tailback, Boobie Miles, is
seriously injured during the first game
of the season, all hope is lost, and the
town's dormant social problems begin to
flare up. It is left to the inspiring
abilities of new coach Gary Gaines to
instill in the other team members --
and, by proxy, the town itself -- a
sense of self-respect and honor.","Sport - Drama","N/A","N/A","Hope comes alive on Friday nights.","2004-10-08","David Aaron Cohen - Peter Berg","US","1:57:39","Peter Berg","Billy Bob Thornton - Lucas Black -
Garrett Hedlund"
"128","Friday the 13th","Friday the 13th","Paramount Pictures","R","1980","5.9","Camp counselors are stalked and murdered
by an unknown assailant while trying to
reopen a summer camp that was the site
of a child's drowning.","Mystery - Horror","N/A","N/A","They were warned...They are doomed...And
on Friday the 13th, nothing will save
them.","1980-05-09","Victor Miller","US","1:35:27","Sean S. Cunningham","Betsy Palmer - Adrienne King - Harry
Crosby"
"129","Friday the 13th Part 2","Friday the 13th Part 2","Paramount Pictures","R","1981","3.4","Five years after the horrible bloodbath
at Camp Crystal Lake, it seems Jason
Voorhees and his demented mother are in
the past. Paul opens up a new camp close
to the infamous site, ignoring warnings
to stay away, and a sexually-charged
group of counselors follow -- including
child psychologist major Ginny. But
Jason has been hiding out all this time,
and now he's ready for revenge.","Mystery - Horror","N/A","N/A","The body count continues...","1981-05-01","Ron Kurz","USA","1:26:59","Steve Miner","Amy Steel - John Furey - Adrienne King"
"130","The Fugitive","Fugitive","Warner Bros.","PG-13","1993","9.6","Wrongfully accused of murdering his
wife, Richard Kimble escapes from the
law in an attempt to find her killer and
clear his name. Pursuing him is a team
of U.S. marshals led by Deputy Samuel
Gerard, a determined detective who will
not rest until Richard is captured. As
Richard leads the team through a series
of intricate chases, he discovers the
secrets behind his wife's death and
struggles to expose the killer before it
is too late.","Crime - Mystery","N/A","N/A","A murdered wife. A one-armed man. An
obsessed detective. The chase begins.","1993-08-06","Jeb Stuart - David Twohy","US","2:10:17","Andrew Davis","Harrison Ford - Tommy Lee Jones - Sela
Ward"
